,Title,Media,Date,Desc
0,El Salvador Wants to Attract Bitcoin Talent. Its Strategy Is Working  CoinDesk,CoinDesk,2021-06-27 23:44,"Bitcoin will not just be a companion currency to the U.S. dollar, but a cornerstone of the nation's efforts to modernize and digitize its economy. Bukele wants El ..."
1,Support for making Bitcoin legal tender grows in Latin America,Fortune,2021-06-27 23:44,El Salvador will soon consider Bitcoin legal tender and some politicians in Central and South America want their country to be next. Members of the business ...
2,There's a Bitcoin Party in El Salvador and Everyone's Invited,Interesting Engineering,2021-06-27 23:44,"Following his ambitious announcement of using bitcoin as legal tender, El Salvador President Nayib Bukele is now pushing the cryptocurrency with incentives."
3,Cathie Wood Wants to Put Ark's Name on ETF Tracking Bitcoin,Bloomberg.com,2021-06-27 23:44,"Cathie Wood's Ark Investment Management is seeking to lend its name to a Bitcoin exchangetraded product. The ARK Shares Bitcoin ETF, trading under ..."
4,"Cathie Wood's ARK Invest, Shares Team Up to Enter Bitcoin ETF Race  CoinDesk",CoinDesk,2021-06-27 23:44,"The ""ARK Shares Bitcoin ETF"" would tap Shares' expertise in spinning up crypto exchangetraded products (ETPs), mostly in Europe. ARK and Shares join ..."
5,Cathie Wood's ARK Invest is readying the first bitcoin ETF with Shares,MarketWatch,2021-06-27 23:44,You can throw Cathie Wood's ARK Invest in the ring of companies hoping to eventually offer a bitcoinbacked exchangetraded fund. According to a regulatory ...
6,Bitcoin climbs on Mexican billionaire's tweet,CNN,2021-06-27 23:44,"New York (CNN) Bitcoin rose Monday after Ricardo Salinas Pliego, the owner of Mexico's Banco Azteca, said he was pushing his country to accept the ..."
7,South African brothers deny role in $.bn Bitcoin 'heist',International Adviser,2021-06-27 23:44,Two brothers from South Africa vanished alongside billions worth of bitcoin investments from their cryptocurrency investment platform Africrypt. According to ...
8,"Jack Dorsey and Elon Musk will discuss bitcoin at an upcoming event, and  other key crypto moments from the past week",CNBC,2021-06-27 23:44,"Jack Dorsey, cofounder and chief executive officer of Twitter Inc. and Square Inc., speaks during the Bitcoin  conference in Miami, Florida, U.S., on Friday, ..."
9,When bitcoin bros* mourn the dead,Financial Times,2021-06-27 23:44,"When bitcoin bros* mourn the dead ... “Think of it as a donation to everyone.” ... Unconfirmed reports emerged over the weekend that Mircea Popescu, a notorious ..."
